InputID,TargetID,Distance
Palma Real,Hospital Madre de Dios,45505.5642814109
Isla Roling,Hospital Madre de Dios,15798.7534788095
Tres Islas,Hospital Santa Rosa,20696.8358579966
Las Palmeras,Hospital Santa Rosa,141692.005450017
Villa Santiago,Hospital Santa Rosa,133564.645208932
Santa Rita Baja,Hospital Santa Rosa,114869.303336783
Sarayacu,Hospital Santa Rosa,95012.3198796191
Fitzcarrald,Hospital Santa Rosa,19231.5199227305
Virgen De La Candelar,Hospital Santa Rosa,97352.9524484344
San Bernardo,Hospital Santa Rosa,25055.3760981378
Santo Domingo,Hospital Santa Rosa,45072.8852527252
Florida Alta,Hospital Santa Rosa,50958.9138168705
Virgenes Del Sol,Hospital Santa Rosa,57438.86412768
San Juan,Hospital Santa Rosa,63936.0337303637
Planchon,Hospital Santa Rosa,35458.4226898493
Fray Martin,Hospital Santa Rosa,63609.4469893079
Alto Libertad,Hospital Santa Rosa,88758.8869320463
Union Progreso,Hospital Santa Rosa,76239.5261598907
Sonene,Hospital Madre de Dios,52479.4794103799
Monterrey,Hospital Santa Rosa,43643.1903223931
Alegria,Hospital Santa Rosa,53467.0821732757
Santa Rosa,Hospital Santa Rosa,126303.100309894
Mavila,Hospital San Martin de Porres de Iberia,71123.9735125982
Nueva Vista,Hospital Santa Rosa,66321.6038953443
Infierno,Hospital Madre de Dios,15366.9979896591
Baltimore,Hospital Santa Rosa,38190.5571004404
Laberinto,Hospital Santa Rosa,45363.1378079532
Puerto Pardo,Hospital Madre de Dios,58041.7131860516
Lago  Valencia,Hospital Madre de Dios,46610.2993620359
La Torre,Hospital Madre de Dios,28166.1640017733
Dos De Mayo,Hospital Santa Rosa,137734.837653489
Primero De Mayo,Hospital Santa Rosa,39155.4751038493
El Casta�al,Hospital Santa Rosa,8919.53713271272
El Gato,Hospital Santa Rosa,40492.5040032682
Loboyoc,Hospital Santa Rosa,16871.023491718
Florida Baja,Hospital Santa Rosa,43070.9608356251
Las Mercedes,Hospital Santa Rosa,30543.7836318395
Mazuko,Hospital Santa Rosa,139663.57192226
Nueva Arequipa,Hospital Santa Rosa,93823.8572279386
Inambari,Hospital Santa Rosa,145419.360144344
Primavera Alta,Hospital Santa Rosa,109669.90940667
Primavera Baja,Hospital Santa Rosa,106093.305479128
Pto. Mazuko,Hospital Santa Rosa,141595.497060733
Control La Torre,Hospital Madre de Dios,28848.0571992252
Sachavacayoc,Hospital Madre de Dios,32893.0944144177
San Francisco,Hospital Santa Rosa,28384.8354895838
Santa Rita Alta,Hospital Santa Rosa,120855.97530083
Sol Naciente,Hospital Santa Rosa,83851.4974560239
Santa Rosa,Hospital Santa Rosa,65047.8036259319
Sudadero,Hospital Santa Rosa,24281.9947926548
El triunfo,Hospital Madre de Dios,1948.93794789479
Tupac Amaru,Hospital Santa Rosa,15145.5789981067
Villa Rosita,Hospital Santa Rosa,135092.082681983
Pacahuara,Hospital San Martin de Porres de Iberia,15707.5109863046
Monte Sinai,Hospital Santa Rosa,20401.1904520497
Fizcarrald,Hospital Santa Rosa,36476.7300452725
Agua Negra,Hospital Santa Rosa,26872.3363588382
Los Cedros,Hospital Santa Rosa,34418.0676186672
Playa Oculta,Hospital Santa Rosa,137456.465859114
Centromin,Hospital Santa Rosa,112136.932331019
Ponal,Hospital Santa Rosa,114057.04481216
Nuevo San Juan Grande,Hospital Santa Rosa,112763.013977168
Puerto Arturo,Hospital Santa Rosa,12215.8016747341
Chorrillos,Hospital Santa Rosa,17248.3419503533
Tnte. Acevedo,Hospital Santa Rosa,20946.3932459554
Izuyama,Hospital Madre de Dios,4624.08998055435
Jorge Chavez,Hospital Madre de Dios,9929.60600342424
Chonta,Hospital Madre de Dios,10255.2765310338
Otilia,Hospital Santa Rosa,7651.86850393346
San Jacinto,Hospital Santa Rosa,22604.0950380153
Loero,Hospital Madre de Dios,7357.94677502091
Playa Alta,Hospital Santa Rosa,20716.877882833
Cachuela,Hospital Santa Rosa,7693.95264735137
El Prado,Hospital Santa Rosa,6227.34739522798
El Pilar,Hospital Santa Rosa,7093.94626860436
Alto Chorrillos,Hospital Santa Rosa,11285.8721270641
Tres Estrellas,Hospital Santa Rosa,16126.2904258364
Alto Cachuela,Hospital Santa Rosa,11915.846098912
Cachuela Baja,Hospital Santa Rosa,5112.25867497579
Bello Horinzonte,Hospital Santa Rosa,10659.0352373241
Santa Teresa,Hospital Santa Rosa,8475.48477705702
Pi�al,Hospital Santa Rosa,62732.3977911675
Nueva San Juan,Hospital Santa Rosa,68795.5682001775
Cafetal,Hospital Santa Rosa,69485.4142750424
Loreto,Hospital San Martin de Porres de Iberia,63737.70967666
Varsovia,Hospital Santa Rosa,53187.6863870365
Virgen Del Carmen,Hospital Santa Rosa,56691.2693648669
Triunfo,Hospital Santa Rosa,61338.0303196909
Aposento,Hospital Santa Rosa,76120.562435318
Nueva Alianza,Hospital Santa Rosa,21044.7438297184
I�apari,Hospital San Martin de Porres de Iberia,51682.5745333149
B�lgica,Hospital San Martin de Porres de Iberia,54508.971480723
Nueva Esperanza,Hospital San Martin de Porres de Iberia,44483.4854449607
Villa Primavera,Hospital San Martin de Porres de Iberia,41036.8560602705
Noaya,Hospital San Martin de Porres de Iberia,31866.9915756054
San Isidro De Chilina,Hospital San Martin de Porres de Iberia,21679.7572296829
Chilina,Hospital San Martin de Porres de Iberia,12310.2521960168
Flor De Acre,Hospital San Martin de Porres de Iberia,9479.43932317952
La Republica,Hospital San Martin de Porres de Iberia,9958.9302600811
Arrozal,Hospital San Martin de Porres de Iberia,11765.3374221533
Tropezon,Hospital San Martin de Porres de Iberia,6397.32332388149
Ocean�a,Hospital San Martin de Porres de Iberia,5720.92072874402
