InputID,TargetID,Distance
Palma Real,Palma Real,0
Palma Real,Palma Real,0
Isla Roling,Isla Roling,0
Isla Roling,Isla Roling,0
Tres Islas,Tres Islas,0
Tres Islas,Tres Islas,0
Las Palmeras,Las Palmeras,0
Las Palmeras,Las Palmeras,0
Santa Rita Baja,Santa Rita Baja,0
Santa Rita Baja,Santa Rita Baja,0
Sarayacu,Sarayacu,348.167933924167
Sarayacu,Sarayacu,348.167933924167
Fitzcarrald,Fitzcarrald,64.0321779604688
Fitzcarrald,Fitzcarrald,64.0321779604688
Virgen de la Candelaria,Virgen De La Candelar,0
Virgen de la Candelaria,Virgen De La Candelar,0
San Bernardo,San Bernardo,32.2146799965339
San Bernardo,San Bernardo,32.2146799965339
Virgenes Del Sol,Virgenes Del Sol,0
Virgenes Del Sol,Virgenes Del Sol,0
Planchon,Planchon,0
Planchon,Planchon,0
Alto Libertad,Alto Libertad,0
Alto Libertad,Alto Libertad,0
Monterrey,Monterrey,121.543078603276
Monterrey,Monterrey,121.543078603276
Alegria,Alegria,171.724976556258
Alegria,Alegria,171.724976556258
Santa Rosa,Santa Rosa,146.681920793683
Santa Rosa,Santa Rosa,146.681920793683
Mavila,Mavila,50.6265549482242
Mavila,Mavila,50.6265549482242
Infierno,Infierno,434.730157333818
Infierno,Infierno,434.730157333818
Puerto Rosario Laberinto,Laberinto,0
Puerto Rosario Laberinto,Laberinto,0
Dos De Mayo,Dos De Mayo,0
Dos De Mayo,Dos De Mayo,0
El Castanal,El Casta�al,0
El Castanal,El Casta�al,0
Loboyoc,Loboyoc,0
Loboyoc,Loboyoc,0
Florida Baja,Florida Baja,0
Florida Baja,Florida Baja,0
Mazuko,Mazuko,0
Mazuko,Mazuko,0
Primavera Alta,Primavera Alta,0
Primavera Alta,Primavera Alta,0
Primavera Baja,Primavera Baja,0
Primavera Baja,Primavera Baja,0
Puerto Mazuko,Pto. Mazuko,54.2147899329497
Puerto Mazuko,Pto. Mazuko,54.2147899329497
San Francisco,San Francisco,0
San Francisco,San Francisco,0
Santa Rita Alta,Santa Rita Alta,0
Santa Rita Alta,Santa Rita Alta,0
Sudadero,Sudadero,233.628403603189
Sudadero,Sudadero,233.628403603189
Pacahuara,Pacahuara,123.70420261112
Pacahuara,Pacahuara,123.70420261112
Monte Sinai,Monte Sinai,0
Monte Sinai,Monte Sinai,0
Agua Negra,Agua Negra,0
Agua Negra,Agua Negra,0
Playa Oculta,Playa Oculta,311.05442479349
Playa Oculta,Playa Oculta,311.05442479349
Nuevo San Juan Grande,Nuevo San Juan Grande,1948.11125095909
Nuevo San Juan Grande,Nuevo San Juan Grande,1948.11125095909
Puerto Arturo,Bajo Piedras,1011.45504059064
Puerto Arturo,Bajo Piedras,1011.45504059064
Jorge Chavez,Jorge Chavez,0
Jorge Chavez,Jorge Chavez,0
Otilia,Otilia,398.925744482689
Otilia,Otilia,398.925744482689
Loero,Loero,0
Loero,Loero,0
Playa Alta,Playa Alta,0
Playa Alta,Playa Alta,0
El Prado,El Prado,0
El Prado,El Prado,0
Alto Cachuela,Alto Cachuela,0
Alto Cachuela,Alto Cachuela,0
Pinal,Pi�al,0
Pinal,Pi�al,0
Cafetal,Cafetal,0
Cafetal,Cafetal,0
Triunfo,Triunfo,0
Triunfo,Triunfo,0
Inapari,I�apari,0
Inapari,I�apari,0
Belgica,B�lgica,0
Belgica,B�lgica,0
Villa Primavera,Villa Primavera,0
Villa Primavera,Villa Primavera,0
Flor De Acre,Flor De Acre,0
Flor De Acre,Flor De Acre,0
San Lorenzo,San Lorenzo,138.270872224443
San Lorenzo,San Lorenzo,138.270872224443
Alerta,Alerta,46.8584197174093
Alerta,Alerta,46.8584197174093
San Pedro,San Pedro,266.798138438294
San Pedro,San Pedro,266.798138438294
La Merced,La Merced,0
La Merced,La Merced,0
Iberia,Iberia,0
Iberia,Iberia,0
