InputID,TargetID,Distance
"0",Hospital Santa Rosa,144480.437078537
"1",Hospital Santa Rosa,144093.518198379
"2",Hospital Santa Rosa,143706.619040593
"3",Hospital Santa Rosa,143319.739764975
"4",Hospital Santa Rosa,142932.880533046
"5",Hospital Santa Rosa,142546.041508064
"6",Hospital Santa Rosa,142159.222855064
"7",Hospital Santa Rosa,141772.424740866
"8",Hospital Santa Rosa,141385.647334112
"9",Hospital Santa Rosa,140998.890805283
"10",Hospital Santa Rosa,140612.155326727
"11",Hospital Santa Rosa,140225.441072683
"12",Hospital Santa Rosa,139838.748219303
"13",Hospital Santa Rosa,139452.076944691
"14",Hospital Santa Rosa,139065.427428918
"15",Hospital Santa Rosa,138678.799854049
"16",Hospital Santa Rosa,138292.194404184
"17",Hospital Santa Rosa,137905.611265467
"18",Hospital Santa Rosa,137519.050626127
"19",Hospital Santa Rosa,137132.512676508
"20",Hospital Santa Rosa,136745.99760909
"21",Hospital Santa Rosa,136359.505618525
"22",Hospital Santa Rosa,135973.036901669
"23",Hospital Santa Rosa,135586.591657606
"24",Hospital Santa Rosa,135200.170087685
"25",Hospital Santa Rosa,134813.772395554
"26",Hospital Santa Rosa,134427.398787187
"27",Hospital Santa Rosa,134041.049470918
"28",Hospital Santa Rosa,133654.724657482
"29",Hospital Santa Rosa,133268.424560039
"30",Hospital Santa Rosa,132882.149394213
"31",Hospital Santa Rosa,132495.899378132
"32",Hospital Santa Rosa,132109.674732461
"33",Hospital Santa Rosa,131723.475680434
"34",Hospital Santa Rosa,131337.302447902
"35",Hospital Santa Rosa,130951.155263354
"36",Hospital Santa Rosa,130565.034357975
"37",Hospital Santa Rosa,130178.93996568
"38",Hospital Santa Rosa,129792.87232314
"39",Hospital Santa Rosa,129406.831669841
"40",Hospital Santa Rosa,129020.818248119
"41",Hospital Santa Rosa,128634.832303196
"42",Hospital Santa Rosa,128248.87408323
"43",Hospital Santa Rosa,127862.943839362
"44",Hospital Santa Rosa,127477.04182575
"45",Hospital Santa Rosa,127091.168299622
"46",Hospital Santa Rosa,126705.323521322
"47",Hospital Santa Rosa,126319.507754353
"48",Hospital Santa Rosa,125933.721265426
"49",Hospital Santa Rosa,125547.964324513
"50",Hospital Santa Rosa,125162.23720489
"51",Hospital Santa Rosa,124776.540183192
"52",Hospital Santa Rosa,124390.873539465
"53",Hospital Santa Rosa,124005.237557214
"54",Hospital Santa Rosa,123619.632523455
"55",Hospital Santa Rosa,123234.058728783
"56",Hospital Santa Rosa,122848.51646741
"57",Hospital Santa Rosa,122463.006037228
"58",Hospital Santa Rosa,122077.527739873
"59",Hospital Santa Rosa,121692.081880769
"60",Hospital Santa Rosa,121306.668769203
"61",Hospital Santa Rosa,120921.288718374
"62",Hospital Santa Rosa,120535.942045461
"63",Hospital Santa Rosa,120150.629071688
"64",Hospital Santa Rosa,119765.350122374
"65",Hospital Santa Rosa,119380.105527021
"66",Hospital Santa Rosa,118994.895619357
"67",Hospital Santa Rosa,118609.720737424
"68",Hospital Santa Rosa,118224.581223632
"69",Hospital Santa Rosa,117839.477424835
"70",Hospital Santa Rosa,117454.409692414
"71",Hospital Santa Rosa,117069.378382325
"72",Hospital Santa Rosa,116684.383855197
"73",Hospital Santa Rosa,116299.426476399
"74",Hospital Santa Rosa,115914.506616115
"75",Hospital Santa Rosa,115529.624649425
"76",Hospital Santa Rosa,115144.780956393
"77",Hospital Santa Rosa,114759.975922137
"78",Hospital Santa Rosa,114375.209936918
"79",Hospital Santa Rosa,113990.483396232
"80",Hospital Santa Rosa,113605.796700886
"81",Hospital Santa Rosa,113221.150257091
"82",Hospital Santa Rosa,112836.544476562
"83",Hospital Santa Rosa,112451.979776595
"84",Hospital Santa Rosa,112067.456580168
"85",Hospital Santa Rosa,111682.975316043
"86",Hospital Santa Rosa,111298.536418859
"87",Hospital Santa Rosa,110914.140329228
"88",Hospital Santa Rosa,110529.787493848
"89",Hospital Santa Rosa,110145.478365594
"90",Hospital Santa Rosa,109761.213403637
"91",Hospital Santa Rosa,109376.993073544
"92",Hospital Santa Rosa,108992.817847395
"93",Hospital Santa Rosa,108608.688203892
"94",Hospital Santa Rosa,108224.604628478
"95",Hospital Santa Rosa,107840.567613446
"96",Hospital Santa Rosa,107456.577658073
"97",Hospital Santa Rosa,107072.635268736
"98",Hospital Santa Rosa,106688.740959035
"99",Hospital Santa Rosa,106304.895249923
"100",Hospital Santa Rosa,105921.098669844
"101",Hospital Santa Rosa,105537.351754853
"102",Hospital Santa Rosa,105153.655048763
"103",Hospital Santa Rosa,104770.009103284
"104",Hospital Santa Rosa,104386.41447816
"105",Hospital Santa Rosa,104002.871741317
"106",Hospital Santa Rosa,103619.381469014
"107",Hospital Santa Rosa,103235.944245993
"108",Hospital Santa Rosa,102852.560665629
"109",Hospital Santa Rosa,102469.2313301
"110",Hospital Santa Rosa,102085.956850541
"111",Hospital Santa Rosa,101702.737847205
"112",Hospital Santa Rosa,101319.574949648
"113",Hospital Santa Rosa,100936.468796885
"114",Hospital Santa Rosa,100553.420037576
"115",Hospital Santa Rosa,100170.429330204
"116",Hospital Santa Rosa,99787.4973432643
"117",Hospital Santa Rosa,99404.6247554398
"118",Hospital Santa Rosa,99021.8122558155
"119",Hospital Santa Rosa,98639.0605440605
"120",Hospital Santa Rosa,98256.3703306265
"121",Hospital Santa Rosa,97873.7423369714
"122",Hospital Santa Rosa,97491.1772957537
"123",Hospital Santa Rosa,97108.6759510598
"124",Hospital Santa Rosa,96726.2390586218
"125",Hospital Santa Rosa,96343.8673860364
"126",Hospital Santa Rosa,95961.5617130061
"127",Hospital Santa Rosa,95579.3228315738
"128",Hospital Santa Rosa,95197.151546365
"129",Hospital Santa Rosa,94815.0486748261
"130",Hospital Santa Rosa,94433.0150474956
"131",Hospital Santa Rosa,94051.0515082492
"132",Hospital Santa Rosa,93669.1589145708
"133",Hospital Santa Rosa,93287.3381378286
"134",Hospital Santa Rosa,92905.590063546
"135",Hospital Santa Rosa,92523.9155916901
"136",Hospital Santa Rosa,92142.3156369687
"137",Hospital Santa Rosa,91760.7911291221
"138",Hospital Santa Rosa,91379.3430132269
"139",Hospital Santa Rosa,90997.972250027
"140",Hospital Santa Rosa,90616.6798162339
"141",Hospital Santa Rosa,90235.4667048661
"142",Hospital Santa Rosa,89854.3339255909
"143",Hospital Santa Rosa,89473.2825050546
"144",Hospital Santa Rosa,89092.3134872561
"145",Hospital Santa Rosa,88711.4279338928
"146",Hospital Santa Rosa,88330.6269247436
"147",Hospital Santa Rosa,87949.9115580452
"148",Hospital Santa Rosa,87569.2829508843
"149",Hospital Santa Rosa,87188.7422395962
"150",Hospital Santa Rosa,86808.2905801726
"151",Hospital Santa Rosa,86427.9291486946
"152",Hospital Santa Rosa,86047.6591417508
"153",Hospital Santa Rosa,85667.4817768842
"154",Hospital Santa Rosa,85287.398293057
"155",Hospital Santa Rosa,84907.4099510948
"156",Hospital Santa Rosa,84527.5180341818
"157",Hospital Santa Rosa,84147.7238483479
"158",Hospital Santa Rosa,83768.0287229652
"159",Hospital Santa Rosa,83388.4340112681
"160",Hospital Santa Rosa,83008.9410908863
"161",Hospital Santa Rosa,82629.5513643806
"162",Hospital Santa Rosa,82250.2662598057
"163",Hospital Santa Rosa,81871.0872312804
"164",Hospital Santa Rosa,81492.0157595804
"165",Hospital Santa Rosa,81113.0533527355
"166",Hospital Santa Rosa,80734.2015466458
"167",Hospital Santa Rosa,80355.4619057365
"168",Hospital Santa Rosa,79976.836023589
"169",Hospital Santa Rosa,79598.3255236235
"170",Hospital Santa Rosa,79219.9320597925
"171",Hospital Santa Rosa,78841.6573172728
"172",Hospital Santa Rosa,78463.5030132192
"173",Hospital Santa Rosa,78085.4708974827
"174",Hospital Santa Rosa,77707.5627534029
"175",Hospital Santa Rosa,77329.7803985882
"176",Hospital Santa Rosa,76952.1256857239
"177",Hospital Santa Rosa,76574.6005034186
"178",Hospital Santa Rosa,76197.2067770457
"179",Hospital Santa Rosa,75819.946469645
"180",Hospital Santa Rosa,75442.8215828149
"181",Hospital Santa Rosa,75065.8341576499
"182",Hospital Santa Rosa,74688.9862757114
"183",Hospital Santa Rosa,74312.280059993
"184",Hospital Santa Rosa,73935.7176759546
"185",Hospital Santa Rosa,73559.3013325643
"186",Hospital Santa Rosa,73183.0332833675
"187",Hospital Santa Rosa,72806.9158275975
"188",Hospital Santa Rosa,72430.9513113194
"189",Hospital Santa Rosa,72055.1421285943
"190",Hospital Santa Rosa,71679.4907226906
"191",Hospital Santa Rosa,71303.9995873327
"192",Hospital Santa Rosa,70928.6712679663
"193",Hospital Santa Rosa,70553.5083630942
"194",Hospital Santa Rosa,70178.5135256243
"195",Hospital Santa Rosa,69803.6894642686
"196",Hospital Santa Rosa,69429.0389449816
"197",Hospital Santa Rosa,69054.5647924553
"198",Hospital Santa Rosa,68680.2698916414
"199",Hospital Santa Rosa,68306.1571893252
"200",Hospital Santa Rosa,67932.229695759
"201",Hospital Santa Rosa,67558.4904863342
"202",Hospital Santa Rosa,67184.9427032986
"203",Hospital Santa Rosa,66811.5895575604
"204",Hospital Santa Rosa,66438.4343304964
"205",Hospital Santa Rosa,66065.4803758702
"206",Hospital Santa Rosa,65692.7311217711
"207",Hospital Santa Rosa,65320.1900726351
"208",Hospital Santa Rosa,64947.8608113226
"209",Hospital Santa Rosa,64575.7470012688
"210",Hospital Santa Rosa,64203.8523886902
"211",Hospital Santa Rosa,63832.1808048742
"212",Hospital Santa Rosa,63460.7361685417
"213",Hospital Santa Rosa,63089.5224882755
"214",Hospital Santa Rosa,62718.543859155
"215",Hospital Santa Rosa,62347.8044889328
"216",Hospital Santa Rosa,61977.3086652821
"217",Hospital Santa Rosa,61607.0607822306
"218",Hospital Santa Rosa,61237.0653371011
"219",Hospital Santa Rosa,60867.3269334597
"220",Hospital Santa Rosa,60497.8502841749
"221",Hospital Santa Rosa,60128.6402145794
"222",Hospital Santa Rosa,59759.7016657244
"223",Hospital Santa Rosa,59391.0396977574
"224",Hospital Santa Rosa,59022.6594934133
"225",Hospital Santa Rosa,58654.5663616128
"226",Hospital Santa Rosa,58286.7657411907
"227",Hospital Santa Rosa,57919.2632047616
"228",Hospital Santa Rosa,57552.0644626997
"229",Hospital Santa Rosa,57185.1753672689
"230",Hospital Santa Rosa,56818.601916886
"231",Hospital Santa Rosa,56452.3502605492
"232",Hospital Santa Rosa,56086.4267023923
"233",Hospital Santa Rosa,55720.8377064353
"234",Hospital Santa Rosa,55355.5899014655
"235",Hospital Santa Rosa,54990.6900861187
"236",Hospital Santa Rosa,54626.14523412
"237",Hospital Santa Rosa,54261.9624997241
"238",Hospital Santa Rosa,53898.1492233415
"239",Hospital Santa Rosa,53534.7129373746
"240",Hospital Santa Rosa,53171.6613722485
"241",Hospital Santa Rosa,52809.0024626718
"242",Hospital Santa Rosa,52446.7443541228
"243",Hospital Santa Rosa,52084.8954095588
"244",Hospital Santa Rosa,51723.4642163806
"245",Hospital Santa Rosa,51362.4595936528
"246",Hospital Santa Rosa,51001.8905995675
"247",Hospital Santa Rosa,50641.7665392134
"248",Hospital Santa Rosa,50282.0969726035
"249",Hospital Santa Rosa,49922.8917230091
"250",Hospital Santa Rosa,49564.1608855978
"251",Hospital Santa Rosa,49205.914836405
"252",Hospital Santa Rosa,48848.1642416199
"253",Hospital Santa Rosa,48490.9200672235
"254",Hospital Santa Rosa,48134.1935889949
"255",Hospital Santa Rosa,47777.9964028821
"256",Hospital Santa Rosa,47422.3404357533
"257",Hospital Santa Rosa,47067.2379565851
"258",Hospital Santa Rosa,46712.7015880197
"259",Hospital Santa Rosa,46358.7443184099
"260",Hospital Santa Rosa,46005.3795142779
"261",Hospital Santa Rosa,45652.6209332661
"262",Hospital Santa Rosa,45300.4827375694
"263",Hospital Santa Rosa,44948.9795078805
"264",Hospital Santa Rosa,44598.1262578526
"265",Hospital Santa Rosa,44247.9384491187
"266",Hospital Santa Rosa,43898.4320068809
"267",Hospital Santa Rosa,43549.6233360766
"268",Hospital Santa Rosa,43201.5293381699
"269",Hospital Santa Rosa,42854.1674285751
"270",Hospital Santa Rosa,42507.5555547284
"271",Hospital Santa Rosa,42161.7122148525
"272",Hospital Santa Rosa,41816.6564774268
"273",Hospital Santa Rosa,41472.4080013784
"274",Hospital Santa Rosa,41128.9870570412
"275",Hospital Santa Rosa,40786.4145478974
"276",Hospital Santa Rosa,40444.7120331189
"277",Hospital Santa Rosa,40103.9017509545
"278",Hospital Santa Rosa,39764.0066429818
"279",Hospital Santa Rosa,39425.0503792394
"280",Hospital Santa Rosa,39087.0573842837
"281",Hospital Santa Rosa,38750.0528642008
"282",Hospital Santa Rosa,38414.062834574
"283",Hospital Santa Rosa,38079.114149464
"284",Hospital Santa Rosa,37745.2345314056
"285",Hospital Santa Rosa,37412.4526024726
"286",Hospital Santa Rosa,37080.7979163946
"287",Hospital Santa Rosa,36750.3009918064
"288",Hospital Santa Rosa,36420.9933465877
"289",Hospital Santa Rosa,36092.9075333724
"290",Hospital Santa Rosa,35766.0771761991
"291",Hospital Santa Rosa,35440.5370083509
"292",Hospital Santa Rosa,35116.3229113778
"293",Hospital Santa Rosa,34793.4719553224
"294",Hospital Santa Rosa,34472.0224401371
"295",Hospital Santa Rosa,34152.0139383131
"296",Hospital Santa Rosa,33833.487338704
"297",Hospital Santa Rosa,33516.4848915242
"298",Hospital Santa Rosa,33201.0502545206
"299",Hospital Santa Rosa,32887.228540279
"300",Hospital Santa Rosa,32575.0663646222
"301",Hospital Santa Rosa,32264.6118960684
"302",Hospital Santa Rosa,31955.9149062818
"303",Hospital Santa Rosa,31649.0268214364
"304",Hospital Santa Rosa,31344.0007744177
"305",Hospital Santa Rosa,31040.891657771
"306",Hospital Santa Rosa,30739.7561772326
"307",Hospital Santa Rosa,30440.6529057567
"308",Hospital Santa Rosa,30143.6423378492
"309",Hospital Santa Rosa,29848.7869440116
"310",Hospital Santa Rosa,29556.1512251293
"311",Hospital Santa Rosa,29265.801766509
"312",Hospital Santa Rosa,28977.8072913318
"313",Hospital Santa Rosa,28692.2387132284
"314",Hospital Santa Rosa,28409.1691875961
"315",Hospital Santa Rosa,28128.6741613336
"316",Hospital Santa Rosa,27850.8314205272
"317",Hospital Santa Rosa,27575.7211356824
"318",Hospital Santa Rosa,27303.4259039438
"319",Hospital Santa Rosa,27034.0307877858
"320",Hospital Santa Rosa,26767.623349567
"321",Hospital Santa Rosa,26504.2936812621
"322",Hospital Santa Rosa,26244.1344287149
"323",Hospital Santa Rosa,25987.2408096073
"324",Hospital Santa Rosa,25733.7106243387
"325",Hospital Santa Rosa,25483.644258953
"326",Hospital Santa Rosa,25237.1446791827
"327",Hospital Santa Rosa,24994.3174146209
"328",Hospital Santa Rosa,24755.2705320214
"329",Hospital Santa Rosa,24520.114596643
"330",Hospital Santa Rosa,24288.9626205348
"331",Hospital Santa Rosa,24061.9299966419
"332",Hospital Santa Rosa,23839.134417577
"333",Hospital Santa Rosa,23620.6957778916
"334",Hospital Santa Rosa,23406.7360587142
"335",Hospital Santa Rosa,23197.3791936301
"336",Hospital Santa Rosa,22992.7509147074
"337",Hospital Santa Rosa,22792.9785776703
"338",Hospital Santa Rosa,22598.1909652935
"339",Hospital Santa Rosa,22408.5180681959
"340",Hospital Santa Rosa,22224.0908423706
"341",Hospital Santa Rosa,22045.0409429739
"342",Hospital Santa Rosa,21871.5004340431
"343",Hospital Santa Rosa,21703.6014741399
"344",Hospital Santa Rosa,21541.475978088
"345",Hospital Santa Rosa,21385.255255348
"346",Hospital Santa Rosa,21235.0696258586
"347",Hospital Santa Rosa,21091.0480145434
"348",Hospital Santa Rosa,20953.317526054
"349",Hospital Santa Rosa,20822.0030017213
"350",Hospital Santa Rosa,20697.2265610877
"351",Hospital Santa Rosa,20579.1071307887
"352",Hospital Santa Rosa,20467.7599639782
"353",Hospital Santa Rosa,20363.2961538528
"354",Hospital Santa Rosa,20265.822145196
"355",Hospital Santa Rosa,20175.4392481886
"356",Hospital Santa Rosa,20092.2431589931
"357",Hospital Santa Rosa,20016.3234918305
"358",Hospital Santa Rosa,19947.7633274103
"359",Hospital Santa Rosa,19886.6387826339
"360",Hospital Santa Rosa,19833.0186064501
"361",Hospital Santa Rosa,19786.9638066397
"362",Hospital Santa Rosa,19748.5273120741
"363",Hospital Santa Rosa,19717.7536746822
"364",Hospital Santa Rosa,19694.6788149654
"365",Hospital Santa Rosa,19679.3298143888
"366",Hospital Santa Rosa,19671.7247573722
"367",Hospital Santa Rosa,19671.8726254147
