POBTYP,CODCAR,NOMBRE,NROHAB,CATEGO,ESTE,NORTE,ALTITU,ZONUTM,LONGIT,LATITU,REFERE,CLACUL,FUENTE,PROVINCIA,DISTRITO,X,Y,CASOS_DENG,AñoCasoDe
CENTRO POBLADO,26 z,Palma Real,280.00000000000,SIN CATEGORIZACION,524450.99979999999,8616996.00000000000,0.00000000000,WGS84 19S,-68.77495680080,-12.51039900130,,1.00000000000,INEI 2002,Tambopata,Tambopata,524450.99979999999,8616996.00000000000,1.00000000000,"2019"
POBLACION DISPERSA,26 Y,Isla Roling,0.00000000000,POBLACION DISPERSA,494777.99990000000,8612708.00000000000,0.00000000000,WGS84 19S,-69.04806978430,-12.54926530730,,5.00000000000,PFCOTMD_Nov_2007,Tambopata,Tambopata,494777.99990000000,8612708.00000000000,2.00000000000,"2019"
CENTRO POBLADO,26 Y,Tres Islas,450.00000000000,SIN CATEGORIZACION,459665.99990000000,8612834.00000000000,0.00000000000,WGS84 19S,-69.37127998250,-12.54787344120,,1.00000000000,INEI 2002,Tambopata,Tambopata,459665.99990000000,8612834.00000000000,6.00000000000,"2019"
POBLACION DISPERSA,26 v,Las Palmeras,200.00000000000,POBLACION DISPERSA,350289.00000000000,8549602.00000000000,0.00000000000,WGS84 19S,-70.38109576200,-13.11622334700,,5.00000000000,INEI 2002,Tambopata,Inambari,350289.00000000000,8549602.00000000000,1.00000000000,"2019"
CENTRO POBLADO,26 v,Santa Rita Baja,167.00000000000,CASERIO,370332.35410000000,8572129.01400000043,18.00000000000,WGS84 19S,-70.19524849390,-12.91348781930,RER Nro 411-2011-GOREMAD/PR,5.00000000000,SGAT,Tambopata,Inambari,370332.35410000000,8572129.01400000043,6.00000000000,"2019"
CENTRO POBLADO,26 v,Sarayacu,378.00000000000,CASERIO,387450.00000000000,8584941.00000000000,13.00000000000,WGS84 19S,-70.03700570090,-12.79832447160,RER Nro 479-2011-GOREMAD/PR,5.00000000000,SGAT,Tambopata,Inambari,387450.00000000000,8584941.00000000000,1.00000000000,"2019"
CENTRO POBLADO,26 Y,Fitzcarrald,250.00000000000,SIN CATEGORIZACION,462199.08436699997,8599323.43366999924,0.00000000000,WGS84 19S,-69.34859784410,-12.66972889170,,5.00000000000,INEI 2002,Tambopata,Tambopata,462199.08436699997,8599323.43366999924,11.00000000000,"2019"
CENTRO POBLADO,26 v,Virgen de la Candelaria,170.00000000000,CASERIO,387384.38020000001,8576336.49489999935,12.00000000000,WGS84 19S,-70.03792932490,-12.87611832220,RER Nro 489-2011-GOREMAD/PR,5.00000000000,SGAT,Tambopata,Inambari,387384.38020000001,8576336.49489999935,1.00000000000,"2019"
CENTRO POBLADO,26 Y,San Bernardo,180.00000000000,CASERIO,456660.00000000000,8597444.00000000000,21.00000000000,WGS84 19S,-69.39916575870,-12.68700179740,RER Nro 1129-2012-GOREMAD/PR,5.00000000000,PMCFGTMD 2012,Tambopata,Tambopata,456660.00000000000,8597444.00000000000,8.00000000000,"2019"
CENTRO POBLADO,26 x,Virgenes Del Sol,150.00000000000,SIN CATEGORIZACION,427989.00000000000,8582260.00000000000,0.00000000000,WGS84 19S,-69.66357617860,-12.82377181520,,5.00000000000,INEI 2002,Tambopata,Laberinto,427989.00000000000,8582260.00000000000,3.00000000000,"2019"
CAPITAL DE DISTRITO,25 y,Planchon,700.00000000000,PUEBLO,483604.99990000000,8642596.00000000000,0.00000000000,WGS84 19S,-69.15076417790,-12.27894749680,Capital de hecho,5.00000000000,INEI 2002,Tambopata,Las Piedras,483604.99990000000,8642596.00000000000,212.00000000000,"2019"
CENTRO POBLADO,26 x,Alto Libertad,167.00000000000,CASERIO,397443.00000000000,8573920.00000000000,10.00000000000,WGS84 19S,-69.94531466040,-12.89831797560,RER Nro 610-2011-GOREMAD/PR,5.00000000000,SGAT,Tambopata,Inambari,397443.00000000000,8573920.00000000000,20.00000000000,"2019"
CENTRO POBLADO,25 y,Monterrey,250.00000000000,CASERIO,486009.00000000000,8650495.00000000000,28.00000000000,WGS84 19S,-69.12862307810,-12.20752649020,RER Nro 563-2013-GOREMAD/PR,5.00000000000,PMCFGTMD 2013,Tambopata,Las Piedras,486009.00000000000,8650495.00000000000,5.00000000000,"2019"
CENTRO POBLADO,25 y,Alegria,1134.00000000000,PUEBLO,487060.00000000000,8660133.00000000000,32.00000000000,WGS84 19S,-69.11892221270,-12.12037188490,RER Nro 631-2013-GOREMAD/PR,5.00000000000,PMCFGTMD 2013,Tambopata,Las Piedras,487060.00000000000,8660133.00000000000,243.00000000000,"2019"
CENTRO POBLADO,26 v,Santa Rosa,1200.00000000000,PUEBLO,358652.00000000000,8570692.00000000000,37.00000000000,WGS84 19S,-70.30296404730,-12.92596449070,RER Nro 148-2014-GOREMAD/PR,5.00000000000,PMCFGTMD 2014,Tambopata,Inambari,358652.00000000000,8570692.00000000000,11.00000000000,"2019"
CENTRO POBLADO,24 y,Mavila,1929.00000000000,PUEBLO,487070.00000000000,8680771.00000000000,29.00000000000,WGS84 19S,-69.11874839880,-11.93373527270,RER Nro 529-2013-GOREMAD/PR,5.00000000000,PMCFGTMD 2013,Tambopata,Las Piedras,487070.00000000000,8680771.00000000000,211.00000000000,"2019"
CENTRO POBLADO,26 Y,Infierno,256.00000000000,CASERIO,475221.00000000000,8592755.00000000000,16.00000000000,WGS84 19S,-69.22825624070,-12.72960552320,RER Nro 379-2011-GOREMAD/PR,1.00000000000,SGAT,Tambopata,Tambopata,475221.00000000000,8592755.00000000000,27.00000000000,"2019"
CAPITAL DE DISTRITO,26 x,Puerto Rosario Laberinto,1782.00000000000,VILLA,436283.99990000000,8594031.00000000000,0.00000000000,WGS84 19S,-69.58689575490,-12.71751546800,Ley 26349,5.00000000000,INEI 2002,Tambopata,Laberinto,436283.99990000000,8594031.00000000000,72.00000000000,"2019"
CENTRO POBLADO,27 y,Dos De Mayo,200.00000000000,CASERIO,352685.00000000000,8554022.00000000000,38.00000000000,WGS84 19S,-70.35877778580,-13.07638369970,RER. Nro 239-2014GOREMAD/PR,5.00000000000,PMCFGTMD 2014,Tambopata,Inambari,352685.00000000000,8554022.00000000000,3.00000000000,"2019"
CENTRO POBLADO,26 Y,El Castanal,135.00000000000,SIN CATEGORIZACION,471685.99990000000,8603312.00000000000,0.00000000000,WGS84 19S,-69.26072216130,-12.63411018590,,5.00000000000,INEI 2002,Tambopata,Tambopata,471685.99990000000,8603312.00000000000,2.00000000000,"2019"
POBLACION DISPERSA,25 y,Loboyoc,150.00000000000,POBLACION DISPERSA,485789.99990000000,8623072.00000000000,0.00000000000,WGS84 19S,-69.13075927900,-12.45551574820,,5.00000000000,INEI 2002,Tambopata,Las Piedras,485789.99990000000,8623072.00000000000,2.00000000000,"2019"
CENTRO POBLADO,26 x,Florida Baja,120.00000000000,SIN CATEGORIZACION,440028.59759999998,8590462.40240000002,0.00000000000,WGS84 19S,-69.55247484020,-12.74985854470,,5.00000000000,INEI 2002,Tambopata,Laberinto,440028.59759999998,8590462.40240000002,1.00000000000,"2019"
CAPITAL DE DISTRITO,27 y,Mazuko,1841.00000000000,VILLA,351680.00000000000,8551472.00000000000,0.00000000000,WGS84 19S,-70.36817284910,-13.09938693520,Ley 26349,5.00000000000,INEI 2002,Tambopata,Inambari,351680.00000000000,8551472.00000000000,186.00000000000,"2019"
CENTRO POBLADO,26 y,Primavera Alta,90.00000000000,SIN CATEGORIZACION,375809.00000000000,8572126.00000000000,0.00000000000,WGS84 19S,-70.14477332340,-12.91374106210,,5.00000000000,INEI 2002,Tambopata,Inambari,375809.00000000000,8572126.00000000000,3.00000000000,"2019"
CENTRO POBLADO,26 y,Primavera Baja,74.00000000000,SIN CATEGORIZACION,379465.54320000001,8572489.09869999997,0.00000000000,WGS84 19S,-70.11105790290,-12.91060372470,,5.00000000000,INEI 2002,Tambopata,Inambari,379465.54320000001,8572489.09869999997,3.00000000000,"2019"
CENTRO POBLADO,26 y,Puerto Mazuko,160.00000000000,CASERIO,349152.67629999999,8552497.56550000049,45.00000000000,WGS84 19S,-70.39142920540,-13.08999113060,RER. Nro 732-2014GOREMAD/PR,5.00000000000,PMCFGTMD 2014,Tambopata,Inambari,349152.67629999999,8552497.56550000049,5.00000000000,"2019"
CENTRO POBLADO,25 y,San Francisco,110.00000000000,SIN CATEGORIZACION,482532.99990000000,8635600.00000000000,0.00000000000,WGS84 19S,-69.16066044820,-12.34220776020,,5.00000000000,INEI 2002,Tambopata,Las Piedras,482532.99990000000,8635600.00000000000,1.00000000000,"2019"
CENTRO POBLADO,26 y,Santa Rita Alta,76.00000000000,SIN CATEGORIZACION,364248.00000000000,8571516.00000000000,0.00000000000,WGS84 19S,-70.25135114160,-12.91876734090,,5.00000000000,INEI 2002,Tambopata,Inambari,364248.00000000000,8571516.00000000000,3.00000000000,"2019"
CENTRO POBLADO,25 y,Sudadero,300.00000000000,CASERIO,483973.20870399999,8631398.16517999955,26.00000000000,WGS84 19S,-69.14913479250,-12.37351256340,RER Nro 562-2013-GOREMAD/PR,5.00000000000,PMCFGTMD 2013,Tambopata,Las Piedras,483973.20870399999,8631398.16517999955,11.00000000000,"2019"
CENTRO POBLADO,23x,Pacahuara,150.00000000000,SIN CATEGORIZACION,432872.24212100002,8747138.15568000078,0.00000000000,WGS84 19S,-69.61445533430,-11.33379165670,,5.00000000000,INEI 2002,Tahuamanu,Iberia,432872.24212100002,8747138.15568000078,204.00000000000,"2019"
POBLACION DISPERSA,26 Y,Monte Sinai,80.00000000000,POBLACION DISPERSA,464159.99990000000,8594079.00000000000,0.00000000000,WGS84 19S,-69.33013016080,-12.71752551360,,5.00000000000,INEI 2002,Tambopata,Tambopata,464159.99990000000,8594079.00000000000,1.00000000000,"2019"
POBLACION DISPERSA,26 Y,Agua Negra,85.00000000000,POBLACION DISPERSA,453822.99990000000,8599894.00000000000,0.00000000000,WGS84 19S,-69.42525757380,-12.66480667160,,5.00000000000,INEI 2002,Tambopata,Tambopata,453822.99990000000,8599894.00000000000,1.00000000000,"2019"
CENTRO POBLADO,26 v,Playa Oculta,154.00000000000,CASERIO,342287.00000000000,8602414.00000000000,30.00000000000,WGS84 19S,-70.45214670380,-12.63840318670,RER Nro 362-2013-GOREMAD/PR,5.00000000000,PMCFGTMD 2013,Manu,Madre de Dios,342287.00000000000,8602414.00000000000,1.00000000000,"2019"
CENTRO POBLADO,26 v,Nuevo San Juan Grande,0.00000000000,SIN CATEGORIZACION,367121.66517900000,8602335.01562999934,0.00000000000,WGS84 19S,-70.22514092330,-12.62272660960,,5.00000000000,,Manu,Madre de Dios,367121.66517900000,8602335.01562999934,1.00000000000,"2019"
CENTRO POBLADO,25 y,Puerto Arturo,239.00000000000,SIN CATEGORIZACION,476831.99608999997,8618390.83100000024,0.00000000000,WGS84 19S,-69.19568406610,-12.48728087880,,5.00000000000,INEI 2002,Tambopata,Tambopata,476831.99608999997,8618390.83100000024,2.00000000000,"2019"
CENTRO POBLADO,26 Y,Jorge Chavez,140.00000000000,SIN CATEGORIZACION,487646.99990000000,8600412.00000000000,0.00000000000,WGS84 19S,-69.11376135670,-12.66043788030,,5.00000000000,INEI 2002,Tambopata,Tambopata,487646.99990000000,8600412.00000000000,1.00000000000,"2019"
CENTRO POBLADO,26 Y,Otilia,190.00000000000,CASERIO,476798.99981600000,8614911.99935000017,51.00000000000,WGS84 19S,-69.21241540330,-12.53268213830,R.E.R. Nro 0047-2017-GOREMAD/PR,5.00000000000,PMCFGTMD 2017,Tambopata,Tambopata,476798.99981600000,8614911.99935000017,1.00000000000,"2019"
CENTRO POBLADO,26 Y,Loero,159.00000000000,SIN CATEGORIZACION,482817.99990000000,8600029.00000000000,0.00000000000,WGS84 19S,-69.15823465860,-12.66387859900,,5.00000000000,INEI 2002,Tambopata,Tambopata,482817.99990000000,8600029.00000000000,4.00000000000,"2019"
POBLACION DISPERSA,26 Y,Playa Alta,150.00000000000,POBLACION DISPERSA,460944.99990000000,8616322.00000000000,0.00000000000,WGS84 19S,-69.35946306910,-12.51634797910,,5.00000000000,INEI 2002,Tambopata,Tambopata,460944.99990000000,8616322.00000000000,2.00000000000,"2019"
