NAME,country,aedes,non_aedes,total,landuse,aedes_mean,land_cov1_mean,land_cov2_mean,land_cov3_mean,tempmean_mean,tempvar_mean,pop_mean
SV01,CR,"0","3","3",urban,,,,,,,
SV02,CR,"0","8","8",urban,,,,,,,
SV05,CR,"1","6","7",urban,,,,,,,
SV06,CR,"0","12","12",urban,,,,,,,
ISLA,CR,"0","0","0",agriculture,,,,,,,
SL01,CR,"5","15","20",urban,,,,,,,
SL02,CR,"12","14","26",urban,,,,,,,
CB01,CR,"3","2","5",urban,,,,,,,
CB02,CR,"0","4","4",urban,,,,,,,
CB03,CR,"14","23","37",urban,,,,,,,
CB05,CR,"2","3","5",urban,,,,,,,
CB04,CR,"2","18","20",urban,,,,,,,
CN03,CR,"3","2","5",urban,,,,,,,
OP01,CR,"1","10","11",agriculture,,,,,,,
OP03,CR,"11","18","29",agriculture,,,,,,,
OP03B,CR,"4","28","32",agriculture,,,,,,,
CN04,CR,"1","209","210",urban,,,,,,,
CN06,CR,"5","7","12",urban,,,,,,,
SATE,CR,"2","2","4",agriculture,,,,,,,
GABO,CR,"0","12","12",forest edge,,,,,,,
GAPA,CR,"0","97","97",forest edge,,,,,,,
RIJA,CR,"0","172","172",forest,,,,,,,
MELI,CR,"0","244","244",forest,,,,,,,
PV01,CR,"3","8","11",urban,,,,,,,
PV02,CR,"0","2","2",agriculture,,,,,,,
PV04,CR,"0","2","2",agriculture,,,,,,,
PV05,CR,"0","1","1",forest,,,,,,,
SAFR,CR,"0","7","7",agriculture,,,,,,,
ELPU,CR,"0","5","5",agriculture,,,,,,,
PINO,CR,"6","8","14",agriculture,,,,,,,
SABO,CR,"5","2","7",urban,,,,,,,
SV04,CR,"5","7","12",urban,,,,,,,
FRAG,CR,"0","20","20",forest edge,,,,,,,
FILA,CR,"0","16","16",forest,,,,,,,
LOAN,CR,"0","204","204",forest,,,,,,,
FELO,CR,"2","2","4",agriculture,,,,,,,
VALE,CR,"0","7","7",agriculture,,,,,,,
QUST,CR,"0","3","3",forest,,,,,,,
PM01,PE,"1","27","28",urban,72.3994951331097,5.60319517957775,62.0997851527256,1.55753720117652,30.7494578320047,14.8010836642721,48.1856373180043
PM02,PE,"13","15","28",urban,105.648580986157,-1.04161589824709,-9.03875880596931,2.19425706643807,31.0922121248747,14.7832880271109,45.7386948325417
PM03,PE,"7","12","19",urban,106.300674173106,-2.06635983861659,-10.8636034662309,3.46280730029811,30.9827120739481,14.5825253362241,43.8307269385102
PM04,PE,"3","13","16",urban,101.637497082091,0.704411762047624,1.04623430772897,1.25842249184324,31.2209138702928,15.1023845003362,46.7001294569536
PM05,PE,"1","16","17",urban,97.0603089042332,2.08997685052454,13.530020992798,1.14204216418059,31.2130260467529,15.1889229567155,46.6508152825492
PM06,PE,"2","36","38",urban,59.6329596809719,4.97689771807712,65.4587866409965,1.8021323385446,30.3505723041037,14.201166617352,44.6194067868319
PM07,PE,"4","15","19",urban,61.0087980303848,3.42935070866033,54.9602157944127,3.16960812712971,30.1295962584646,13.5797901906465,41.6902393613543
PM08,PE,"9","87","96",urban,95.4380007119014,0.49668153991987,2.83900363062476,3.79705311357975,30.6628165245056,14.081146306005,42.7961255519762
PM09,PE,"0","38","38",urban,76.5571322233781,0.256497274954682,25.2729983244253,9.37513741513957,30.53807441048,14.5445194824882,34.5426818486807
PM10,PE,"2","2","4",urban,45.4347713968028,10.4551483817722,125.227222741168,2.97977272686751,30.0233317167863,14.1537342071533,44.7112218806174
PM11,PE,"12","88","100",urban,39.9625917849333,6.61880846438201,123.540548009458,3.0955785823905,29.475409897514,12.9879231743191,37.1794293191698
PM12,PE,"0","105","105",urban,34.5952689626942,12.8482457575591,197.264010023034,6.06490587047909,28.4506347490394,11.9641424842503,29.2350112382356
PM13,PE,"10","88","98",urban,39.6135573222719,22.2649677210841,230.991318275189,10.4168472783319,28.7888568680862,12.845420878509,19.6736814810875
PM14,PE,"9","136","145",urban,38.2351301110309,21.155346563588,178.867720562479,13.7574712628904,28.0087459895922,11.8723329212355,13.1632790656317
PM15,PE,"0","115","115",urban,48.5517994620583,23.9295134110884,152.501006663929,26.6995903448625,27.952008490129,12.677423399145,2.04675050540404
PM16,PE,"0","289","289",agriculture,38.8340698376036,32.0667205107839,288.067918877853,22.8103635687577,27.607284880521,11.6373420849181,0.465613988874195
PM17,PE,"3","465","468",agriculture,38.6108853547469,32.4207405753758,295.947351206904,23.4570949554443,27.5453379589578,11.5521249273549,0.443801618105656
PM18,PE,"0","131","131",urban,40.023435658422,27.9459129366381,259.035962466536,21.0588103820538,28.0831861167118,12.0558156720523,0.516042625644933
PM19,PE,"5","20","25",urban,88.3123151879562,-1.65318785241821,6.48086984560155,12.2563145788092,30.4605363879287,14.1122950420045,27.7946908967989
PM20,PE,"3","79","82",agriculture,70.506887959168,5.23908441836855,34.9373063919818,21.1448684624866,30.1177348752992,13.8886923410196,13.7090266781884
PM21,PE,"1","14","15",urban,62.748084035413,6.56397897490011,35.6573305014392,19.4925843888316,30.0992911601889,14.1543507329349,18.6041854265574
